SPECIMEN_SOURCE	LOINC	LOINC_CD_KEY	LOAD_DATE
SER_PLAS	32215-6	84008	2017-09-07
SER_PLAS	32286-7	84084	2017-09-07
UN	32307-1	84107	2017-09-07
XXX	32324-6	84126	2020-12-11
BLD	32354-3	84159	2017-09-07
PPP	3246-6	84273	2020-12-11
PPP	3251-6	84328	2020-12-11
UN	32515-9	84334	2017-09-07
SER	3252-4	84339	2020-12-11
PPP	3255-7	84372	2017-09-07
PPP	3256-5	84383	2017-09-07
BLD	32623-1	84450	2020-12-11
SER_PLAS	32673-6	84504	2017-09-07
SER	32687-6	84519	2017-09-07
BLD	32693-4	84526	2017-09-07
BLD	32713-0	84548	2017-09-07
BLD	32717-1	84552	2017-09-07
BLDA	32771-8	84609	2020-12-11
PPP	3289-6	84739	2017-09-07
NI	33006-8	84870	2017-09-07
SER_PLAS	33037-3	84904	2020-12-11
SER_PLAS	33204-9	85089	2021-02-17
BLDA	33254-4	85144	2020-12-11
BLD	33256-9	85146	2017-09-07
SER	33291-6	85183	2017-09-07
SER	33313-8	85207	2017-09-07
SER	33314-6	85208	2017-09-07
SER	33336-9	85230	2017-09-07
PERICARD_FLD	33367-4	85263	2021-02-17
URINE	33616-4	85529	2017-09-07
SER_PLAS	33762-6	85689	2017-09-07
SER	33910-1	85850	2017-09-07
SER_PLAS	33914-3	85854	2017-09-07
SER_PLAS	33959-8	85903	2017-09-07
PPP	33984-6	85930	2021-02-17
BLD	34581-9	86587	2017-09-07
BLD	34714-6	86734	1900-01-01
BLD	34961-3	86993	2021-02-17
SER	35281-5	87343	2017-09-07
OT	35591-7	87682	2017-09-07
OT	35592-5	87683	2017-09-07
SER_PLAS	35648-5	87745	2021-02-17
URINE	35674-1	87773	2017-09-07
CSF	35875-4	87993	2017-09-07
SER_PLAS	38180-6	90417	2017-09-07
BLD	38483-4	90746	1900-01-01
BLD	38506-2	90772	2017-09-07
PPP_BLD	38875-1	91179	2020-12-11
BLDC	39485-8	91849	2020-12-11
BLDV	39486-6	91850	2020-12-11
CSF	39571-5	91943	2017-09-07
SER_PLAS	40045-7	92461	2018-01-25
SER_PLAS	40323-8	92770	2018-01-25
SER	40466-5	92924	2017-09-07
BLD	40665-2	93137	2020-12-11
SER_PLAS	40667-8	93139	2017-09-07
SER	40677-7	93149	2017-09-07
SER_PLAS	40678-5	93150	2017-09-07
SER_PLAS	41024-1	93530	2018-01-25
SER	41399-7	93936	2017-09-07
BLD	41652-9	94128	2017-09-07
BLD	41653-7	94129	2017-09-07
BLD	41654-5	94130	2017-09-07
CSF	42507-4	95031	2017-09-07
BLD	42593-4	95124	2017-09-07
SER_PLAS	42595-9	95126	2017-09-07
CSF	42606-4	95139	2017-09-07
PPP	42638-7	95173	2020-12-11
BLD	42719-5	95248	2017-09-07
BLD	42757-5	95290	1900-01-01
BLD	42908-4	95450	2017-09-07
CSF	43026-4	95578	2017-09-07
SER	43030-6	95583	2017-09-07
SER_PLAS	43180-9	95743	2017-09-07
SER_PLAS	43279-9	95851	2017-09-07
SER_PLAS	43396-1	95980	2017-09-07
BLD	43402-7	95987	2020-12-11
URINE	43700-4	96298	2017-09-07
PPP	43734-3	96335	2020-12-11
SER	43810-1	96417	2017-09-07
SER	44494-3	97163	2017-09-07
CSF	44817-5	97512	2017-09-07
CSF	45062-7	97781	2021-02-17
SER_PLAS_BLD	45066-8	97783	2020-12-11
SER_PLAS	45161-7	97881	2017-09-07
SER	45210-2	97934	2017-09-07
BLD	4537-7	98104	2017-09-07
BLD	4538-5	98115	2020-12-11
BLD	4539-3	98126	2020-12-11
BLD	4544-3	98180	2017-09-07
BLD	4545-0	98191	2017-09-07
BLD	4548-4	98224	1900-01-01
CSF	46109-5	98924	2017-09-07
BLD	4621-9	99008	2017-09-07
BLD	4625-0	99051	2017-09-07
BLD	46417-2	99232	2017-09-07
BLD	46418-0	99233	2017-09-07
SER_PLAS	47213-4	100095	1900-01-01
SER_PLAS	47252-2	100138	2017-09-07
SER	47390-0	100289	2017-09-07
URINE	47678-8	100606	2021-02-17
URINE	47863-6	100805	2021-02-17
PPP	48058-2	101020	2020-12-11
PPP	48065-7	101028	2020-06-02
PPP	48066-5	101029	2020-12-11
PPP	48067-3	101030	2020-06-02
RBC	48141-6	101113	2020-12-11
SER_PLAS	48159-8	101132	2017-09-07
SER_PLAS	48398-2	101390	2017-09-07
BLDC	48421-2	101417	2020-12-11
BLD	48425-3	101421	2021-02-17
BLD	48426-1	101422	2021-02-17
SER_PLAS	48642-3	101655	2017-09-07
SER_PLAS	48643-1	101656	2017-09-07
PPP	48664-7	101676	2021-02-17
BLDCRRT	49058-1	102110	2020-12-11
BLD	49134-0	102195	2018-01-25
SER_PLAS	49136-5	102197	1900-01-01
URINE	49347-8	102422	2017-09-07
BLD	49497-1	102588	2017-04-01
BLD	49498-9	102589	2020-12-11
SER	49539-0	102634	2017-09-07
BLD	49551-5	102648	1900-01-01
SER_PLAS	49563-0	102661	2021-02-17
BLD	49701-6	102813	2020-12-11
CSF	49731-3	102844	2017-09-07
BODY_FLD	49732-1	102845	2020-12-11
CSF	49919-4	103051	2020-12-11
URINE	4999-9	103128	2017-09-07
SER_PLAS_BLD	50044-7	103191	2020-12-11
SER_PLAS	5010-4	103253	2017-09-07
SER_PLAS_BLD	50210-4	103374	2020-12-11
OT	50380-5	103559	2017-09-07
OT	50381-3	103560	2017-09-07
SER_PLAS_BLD	50384-7	103562	2020-12-11
URINE	50551-1	103746	2017-09-07
PPP	50754-1	103971	2020-12-11
SER	50758-2	103975	2017-09-07
BLDMV	50980-2	104219	2020-12-11
SER_PLAS	5124-3	104505	2017-09-07
SER	5126-8	104527	2017-09-07
BLDV	51731-8	105048	2020-12-11
BLDC	51732-6	105049	2020-12-11
BLDA	51733-4	105050	2020-12-11
SER	5187-0	105197	2017-09-07
SER	51914-0	105246	2017-09-07
SER_PLAS	51916-5	105248	2017-09-07
SER	5193-8	105263	2017-09-07
SER	5195-3	105283	2017-09-07
SER_PLAS	5196-1	105294	2017-09-07
SER	5199-5	105327	2017-09-07
SER	5206-8	105406	2017-09-07
SER	5207-6	105417	2017-09-07
SER	5209-2	105439	2017-09-07
SER	5210-0	105451	2017-09-07
PPP	52122-9	105476	2020-12-11
PPP	52129-4	105483	2020-12-11
CSF	5289-4	106319	2017-09-07
CSF	5290-2	106331	2017-09-07
SER	5291-0	106342	2017-09-07
SER	5292-8	106353	2017-09-07
SER	52981-8	106421	2017-09-07
SER	52984-2	106424	2017-09-07
SER	5331-4	106785	2017-09-07
SER	5332-2	106796	2017-09-07
URINE	53326-5	106803	2017-09-07
SER_PLAS	5334-8	106818	2017-09-07
SER	5335-5	106829	2017-09-07
BLD	53553-4	107051	2017-09-07
SER	53560-9	107059	2017-09-07
SER_PLAS	5388-4	107409	2017-09-07
SER	5390-0	107431	2017-09-07
SER_PLAS	53962-7	107500	2017-09-07
URINE	54163-1	107716	2017-09-07
SER_PLAS	54206-8	107760	2017-09-07
BLD	54218-3	107772	2017-09-07
SER_PLAS	54347-0	107902	2020-12-11
BLD	54363-7	107918	2020-12-11
BLD	55782-7	109310	2017-09-07
BLD	5671-3	110315	2017-09-07
URINE	5770-3	111388	2017-09-07
BLD	57743-7	111435	2021-02-17
URINE	57747-8	111439	2017-09-07
SER_PLAS	57899-7	111606	2017-09-07
URINE	5811-5	111827	2017-09-07
URINE	5837-0	112100	2017-09-07
URINE	58450-8	112190	2017-09-07
SER	58452-4	112192	2017-09-07
CSF	58784-0	112554	2017-09-07
PPP	5901-4	112800	2020-12-11
PPP	5902-2	112811	2017-09-07
BLD	5905-5	112844	2017-09-07
SER_PLAS	59052-1	112847	2017-09-07
CSF	59182-6	112985	2021-02-17
BLD	5964-2	113440	2017-09-07
SER_PLAS	59794-8	113609	2018-01-25
BLD	59826-8	113645	2020-12-11
BLD	59827-6	113646	2017-09-07
BLD	59828-4	113647	2017-09-07
BODY_FLD	60017-1	113858	2021-02-17
PERICARD_FLD	60018-9	113859	2021-02-17
PERICARD_FLD	60019-7	113860	2021-02-17
PERITON_FLD	60020-5	113862	2021-02-17
PLR_FLD	60021-3	113863	2021-02-17
PLR_FLD	60022-1	113864	2021-02-17
CSF	60023-9	113865	2021-02-17
CSF	60024-7	113866	2021-02-17
BLD	60474-4	114351	2020-12-11
SER_PLAS	61151-7	114805	2017-09-07
SER_PLAS	61152-5	114806	2017-09-07
SER_PLAS	62234-0	115974	2020-12-11
SER_PLAS	62235-7	115975	2020-12-11
SER_PLAS_BLD	62238-1	115978	2020-12-11
BLD	6298-4	116558	2017-09-07
BLD	6299-2	116565	2017-09-07
PPP	6301-6	116580	1900-01-01
CSF	63432-9	117018	2017-09-07
SER	63462-6	117050	2017-09-07
BLDV	6597-9	119756	2021-02-17
SER_PLAS	6598-7	119767	1900-01-01
BLD	6690-2	120752	2017-09-07
SER_PLAS	67151-1	121008	2021-02-17
SER_PLAS	6768-6	121569	2017-09-07
PERITON_FLD	68387-0	122318	2021-02-17
SYNV_FLD	68452-2	122389	2021-02-17
SYNV_FLD	68453-0	122390	2021-02-17
BLD	6864-3	122585	2017-09-07
SER_PLAS	6892-4	122858	2017-09-07
CSF	6921-1	123172	2017-09-07
SER_PLAS	69405-9	123388	2017-09-07
PLAS	69964-5	123954	2020-12-11
SER_PLAS	70154-0	124160	2017-09-07
URINE	70199-5	124209	2017-09-07
